"Armed Actors/ Security Personnel Casualties Total","Civilian Casualties Total","Civilians Injured","Civilians Killed","Country","Date","Description","Location"
"0","2","0","2","Afghanistan","2020-06-27","2 human rights workers killed by bomb attached to car in kabul","Road"
"13","0","0","0","Afghanistan","2020-06-28","10 Tlaiban killed in airstrike on Ghazni province targeting Taliban gathering","Village"
"0","63","40","23","Afghanistan","2020-06-29","23 civilians killed in rocket attack on cattle market in Helmand province","Market"
"0","7","1","6","Afghanistan","2020-06-28","Roadside bomb in Washer district kills 6 civilians","Road"
"17","0","0","0","Afghanistan","2020-06-30","17 Taliban killed in airstrike on Parwan province ","No Information"
"0","3","1","2","Afghanistan","2020-06-30","2 killed nad 1 injured in raodside bomb explosion in Helmand","Road"
"0","2","1","1","Afghanistan","2020-07-02","Bomb blast on  vehicle of the chief executive of Sorkhroad District exploded in the Pashtunistan Wat area","Urban Residential"
"0","1","1","0","Afghanistan","2020-07-01","Roadside bomb explosion in Mazar-e-Sharif city wounds 1","Urban Residential"
"5","6","5","1","Afghanistan","2020-07-01","As first responders arrive second roadside bomb detonates killing 1 civilian","Urban Residential"
"1","0","0","0","Afghanistan","2020-06-29","Police officer killed trying to defuse IED in Herat","Village"
"4","0","0","0","Afghanistan","2020-06-28","2 soldiers killed trying to defuse bomb in Faryab","Town Centre"
"3","0","0","0","Afghanistan","2020-06-28","Roadside bomb kills 1 police officer in Chinarto district","Road"
"0","5","4","1","Afghanistan","2020-06-27","4yo girl killed by in Afghan mortar attack on Taliban-controlled village","Village"
"0","3","2","1","Afghanistan","2020-06-27","2 roadside bombs exploded in the Charchangho village of Mangajik District, killing one child","Village"
"2","0","0","0","Afghanistan","2020-06-24","2 police killed in roadside bomb blast in Kandahar","Road"
"4","0","0","0","Afghanistan","2020-06-23","2 police killed by IED when trying to defuse another bomb in Chehel-gazi village","Village"
"0","2","1","1","Afghanistan","2020-06-23","A mortar shell fired by the Taliban hit a house, killing one civilian and wounding another","Urban Residential"
"6","0","0","0","Afghanistan","2020-06-20","Roadside bomb in Khwarestan area of Moqor District, killing three local police","No Information"
"0","1","0","1","Afghanistan","2020-06-19","1 killed by roadside bomb in Somak village","Village"
"0","8","6","2","Afghanistan","2020-06-19","Magnetic bomb kills 2 in Aino area of Paghman district","Road"
"4","0","0","0","Afghanistan","2020-06-18","3 police killed and 1 wounded by roadside bomb as they respond to attack in Baghlan","Road"
"0","3","0","3","Afghanistan","2020-06-17","3 children killed in roadside bomb blast in Pa-e-Kamar","Village"
"0","11","8","3","Afghanistan","2020-06-15","Mortar shell fired by Taliban hit civilian home killing 3 in Kapisa","Urban Residential"
"5","0","0","0","Afghanistan","2020-06-15","5 police killed by roadside bomb in Balaik area","Road"
"0","2","0","2","Afghanistan","2020-06-15","2 killed by Taliban roadside bomb in Helmand","No Information"
"1","0","0","0","Afghanistan","2020-06-14","Roadside bomb kills 1 police officer in Kotal-e-Morgh area","Road"
"0","8","7","1","Afghanistan","2020-06-12","1 killed and 7 wounded in rocket fire by taliban hit village","Village"
"5","0","0","0","Afghanistan","2020-06-11","Roadside bomb blast kills 1 soldier and wounds 4 in Balkh","Road"
"0","2","1","1","Afghanistan","2020-06-11","1 killed and 1 wounded in roadside bomb explosion in Hewad-wal square","Urban Residential"
"0","4","3","1","Afghanistan","2020-06-10","1 child killed and 3 wounded by Taliban bomb explosion in Tarbulaq village","Village"
"5","0","0","0","Afghanistan","2020-06-09","1 police killed and 4 wounded in roadside bomb explosion in Takhar","Road"
"0","2","0","2","Afghanistan","2020-05-30","2 shepherds killedby roadside bomb near security outpost of village","Village"
"0","2","1","1","Afghanistan","2020-05-29","1 child killed and 1 wounded in bomb explosion in Pozalich village","Village"
"7","0","0","0","Afghanistan","2020-07-03","2 police killed and 5 injured in roadside bomb explosion in Baghlan","Road"
"3","0","0","0","Afghanistan","2020-07-03","NDS member killed and 2 injured in roadside bomb blast in Paktia","Road"
"1","0","0","0","Afghanistan","2020-07-05","Army engineer killed in landmine blast in Nangarhar","No Information"
"6","0","0","0","Afghanistan","2020-07-04","3 police killed and 3 wounded in roadside bomb blast in Herat","Road"
"1","1","1","0","Afghanistan","2020-07-04","2, including a civilian, injured in magnetic bomb blast","Urban Residential"
"6","0","0","0","Afghanistan","2020-07-04","Roadside bomb kills 2 security forces and injures 4 in Daikundi","Road"
"7","9","9","0","Afghanistan","2020-07-07","Suicide car bomber targeted Afghan police convoy in Nangarhar killing 4 police","Market"
"3","0","0","0","Afghanistan","2020-07-07","1 soldier killed and 2 injured in car bomb blast in Paktia","No Information"
"3","0","0","0","Afghanistan","2020-07-08","3 police killed in roadside bomb blast in Dehyak district","Road"
"4","14","14","0","Afghanistan","2020-07-08","Suicide truck bomber targeted police district HQ in Kandahar","Police Station"
"0","3","1","2","Afghanistan","2020-07-09","2 killed and 1 injured in roadside bomb blast in Ghazni","Road"
"0","14","8","6","Afghanistan","2020-07-11","6 killed and 8 wounded in roadside bomb explosion in Dara-e-Qiaq area ","Public Transport"
"0","3","0","3","Afghanistan","2020-07-11","3 killed when mortar hits house in Sultankhel village- locals accuse government forces","Village"
"0","16","11","5","Afghanistan","2020-07-14","IED kills 5 in Surobi disrict - 11 wounded - when vehicle hits bomb","Village"
"12","63","63","0","Afghanistan","2020-07-13","11 intelligence personnel killed in attack on compound in Aybak - 63 wounded including civilians and personnel and nearby homes damaged","Armed Base"
"25","0","0","0","Afghanistan","2020-07-15","15 Taliban killed and 10 injured in airstrike in Kandahar","No Information"
"8","0","0","0","Afghanistan","2020-07-14","8 Taliban killed in airstrike in Balkh province ","Armed Base"
"0","1","1","0","Afghanistan","2020-07-14","Woman wounded by mortar shell in Mamond tehsil","Urban Residential"
"0","13","9","4","Afghanistan","2020-07-15","4 killed and 9 wounded in mortar shelling from Pakistan that landed on border village - some report 8 killed","Village"
"0","4","4","0","Afghanistan","2020-07-14","3 killed and intelligence officer wounded in roadside bombing in Kandahar","Road"
"0","3","0","3","Afghanistan","2020-07-18","Roadside bomb kills 3, including a child, in Badghis","Road"
"0","4","4","0","Afghanistan","2020-07-16","4 civilians wounded in rocket attaks on Ghazni city","Commercial Premises"
"4","0","0","0","Afghanistan","2020-07-18","Police commander killed in landmine blast in Paktika","Road"
"5","0","0","0","Afghanistan","2020-07-18","1 police killed and 4 wounded in IED explosion in Shar-e-Safa area in Zabul","No Information"
"1","11","8","3","Afghanistan","2020-07-18","Rocket hits  district office building of Tagab district in eastern Kapisa province killing 3 civilians","Public Building"
"18","0","0","0","Afghanistan","2020-07-20","Suicide car bomber kills 8 soldiers in Sayed Abad district","Road"
"0","2","1","1","Afghanistan","2020-07-21","1 staff of a local logistic group killed and 1 wounded  by IED detonated on doorstep of the firm in Pul-e-Khumri","Commercial Premises"
"0","1","0","1","Afghanistan","2020-07-21","1 killed by roadside bomb in Sah Wali Kot","Road"
"0","4","0","4","Afghanistan","2020-07-21","4 killed in 2 IED explosion in Nahri Saraaj district in Helmand ","Road"
"36","0","0","0","Afghanistan","2020-07-21","US airstrikes killed 36 Taliban in Khakriz district","No Information"
"25","0","0","0","Afghanistan","2020-07-20","NATO airstrike killed 25 Taliban fighters in Kandahar's Takht-e-Pol town","No Information"
"12","0","0","0","Afghanistan","2020-07-22","Car bomb killed 3 soldiers and injured 6 soldiers and 3 police in Helmand","No Information"
"7","0","0","0","Afghanistan","2020-07-22","7 security personnel killed in roadside bomb in Uruzgan","No Information"
"45","20","12","8","Afghanistan","2020-07-22","45 Taliban killed in airstrike in Herat province; 8 civilians reported killed","Urban Residential"
"0","5","1","4","Afghanistan","2020-07-24","4 killed and 1 injured in roadside bomb explosion in Pul-e-Khumri","Urban Residential"
"0","14","10","4","Afghanistan","2020-07-24","4 killed in mortar attacks by Taliban in Shirin Tagab and Dawlat Abad districts of Faryab","Multiple (urban)"
"5","0","0","0","Afghanistan","2020-07-25","2 soldiers killed in Helmand by car bomb near security checkpoint","Armed Base"
"2","0","0","0","Afghanistan","2020-07-26","2 Taliban killed in airstrikes in Shindand district ","No Information"
"0","1","0","1","Afghanistan","2020-07-27","12yo boy killed by pressure-plate IED in Pul-e-Khumri ","No Information"
"0","2","0","2","Afghanistan","2020-07-28","2 killed in magnetic bomb explosion in Kabul","No Information"
"0","6","4","2","Afghanistan","2020-07-26","2 killed and 4 injured in mortar attack on sports ground in Dasht-e-Archi district","Entertainment"
"0","5","2","3","Afghanistan","2020-07-28","IED kills 3 and wounds 2 in southern Zabul ","Road"
"0","8","6","2","Afghanistan","2020-07-29","2 killed and 6 injured in bomb attack in Herat","Urban Residential"
"0","10","9","1","Afghanistan","2020-07-29","1 killed and 9 injured in blast in Mehtar Lam in Laghman","Urban Residential"
"0","95","80","15","Afghanistan","2020-07-31","At least 9 killed and 50 wounded in Pakistan cross border shellng on residential areas in Spin Boldak","Urban Residential"
"10","32","21","11","Afghanistan","2020-07-30","9 killed in suicide bombing in Logar's Pul-e-Alam","Commercial Premises"
"0","6","5","1","Afghanistan","2020-07-31","1 killed and 5 injured in shelling in Laghman province","Village"
"1","19","18","1","Afghanistan","2020-08-02","At least 3 killed in complex suicide attack involving gunmen against prison in Jalalabad - seems many hurt in gun battle. At least 1 killed in blast and 18 injured ","Police Station"
"4","0","0","0","Afghanistan","2020-07-29","Roadisde bomb kills 3 police in nachin area in Tarin Kot","Road"
"5","0","0","0","Afghanistan","2020-07-26","taliban roadside bomb kills 4 soldiers in Koshk-e-Sirwan village","Village"
"2","2","1","1","Afghanistan","2020-07-23","1 civilian and 1 police killed in roadside bomb in Kandahar City","Road"
"0","3","0","3","Afghanistan","2020-07-23","3 killed in roadside bomb blast in Arzo area in Ghaznicity","Urban Residential"
"0","10","8","2","Afghanistan","2020-07-22","Afghan air force bomb home killing woman and child due to incorrect intelligence","Village"
"0","4","2","2","Afghanistan","2020-07-22","2 killed by roadside bomb in Estow village in Herat","Village"
"0","5","3","2","Afghanistan","2020-07-22","2 killed in roadside bomb in in the Jelawor area of Arghandab District","No Information"
"4","0","0","0","Afghanistan","2020-07-22","4 soldiers were killed when their Humvee hit a roadside bomb in the Dand-e-Ghori area","Road"
"5","0","0","0","Afghanistan","2020-07-22","Roadside bomb killed 1 police near kandahar University","Road"
"0","10","5","5","Afghanistan","2020-07-20","5 killed and 5 injured in Afghan airstrikes on Larkhabi village after Taliban left the area","Village"
"0","3","0","3","Afghanistan","2020-07-18","3 killed when their vehicle was blown up by the Taliban in Tarin Kot","Road"
"29","0","0","0","Afghanistan","2020-07-13","13 Taliban killed in Afghan iarstrikes in Badghis","No Information"
"4","0","0","0","Afghanistan","2020-07-09","Rocket fired by Taliban hits security Humvee killing 4 soldiers","Urban Residential"
"0","7","1","6","Afghanistan","2020-07-08","Mortar fired by security forces kils 6 civilians in Pul-i-Khumri","Urban Residential"
"1","0","0","0","Afghanistan","2020-07-08","Taliban mortar fire kills 1 police in Wardak targeting district governor's office","Public Building"
"0","2","0","2","Afghanistan","2020-07-08","Roadside bomb kills 2 children in village of Gandah Ab in Ab Kamari ","Village"
"0","5","3","2","Afghanistan","2020-08-04","2 killed in roadside bomb blast in Shingal district","Road"
"0","7","0","7","Afghanistan","2020-08-05","6 killed and 1 wounded in roadside bomb blast in Nimroz province ","Road"
"10","0","0","0","Afghanistan","2020-08-05","9 security guards killed when vehicle hit roadside bomb in Baghlan","Road"
"0","9","9","0","Afghanistan","2020-08-08","9 wounded by mortar attack on home in Sherzad district","Urban Residential"
"0","23","16","7","Afghanistan","2020-08-08","7 killed and 16 injured in car bombing targeting police centre in Ghazni","Police Station"
"0","5","3","2","Afghanistan","2020-08-07","2 killed and 3 injured in roadside bomb explosion in Kandahar","Village"
"0","2","0","2","Afghanistan","2020-08-07","2 killed in roadside bomb blast in Paktia ","No Information"
"5","2","0","2","Afghanistan","2020-08-09","2 killed and 5 security forces injured in IED explosion in trolley in Kabul","Commercial Premises"
"0","11","2","9","Afghanistan","2020-08-09","Civilians hit roadside bomb near Shana Nari village killing 9","Village"
"0","8","0","8","Afghanistan","2020-08-09","Van hits mine in Tajaw village killing 8 civilians","Village"
"0","2","2","0","Afghanistan","2020-08-10","2 wounded in explosion of sticky bomb on car in Makroryan-e-Charum","Urban Residential"
"0","3","2","1","Afghanistan","2020-08-11","1 killed and 2 injured in bomb blast in Kabul's Khair Khana area","Urban Residential"
"6","15","15","0","Afghanistan","2020-08-12","4 police killed and 16 injured in bomb explosion in police station in Farah","Urban Residential"
"0","10","6","4","Afghanistan","2020-08-13","Explosion in southern Kandahar killed 4 and injured 6 in Panjwai district","Road"
"0","11","6","5","Afghanistan","2020-08-13","5 killed and 6 injured in landmine blast in Kandahar","Road"
"0","3","0","3","Afghanistan","2020-08-12","US drone strike killled at least 3 civilians inLogar province","No Information"
"8","1","1","0","Afghanistan","2020-08-19","4 Taliban killed in northern Faryab on meeting of shadow governors","Village"
"6","0","0","0","Afghanistan","2020-08-18","6 guards injured in rocket attack on palace compound","Public Building"
"0","10","10","0","Afghanistan","2020-08-18","10 civilians injured in rocket attacks on homes in Kabul","Urban Residential"
"0","1","0","1","Afghanistan","2020-08-19","Bomb blast kills high-ranking Education Ministry employee in Kabul","Urban Residential"
"0","4","4","0","Afghanistan","2020-08-19","Bomb blast struck military vehicle injuring 4, including soldiers in Pul-e-Khumri","School"
"4","0","0","0","Afghanistan","2020-08-20","3 Taliban killed and 1 wounded in airstrike in Uruzgan province","No Information"
"1","2","2","0","Afghanistan","2020-08-19","Sticky bomb kills 1 and wounds 2 in Kabul","No Information"
"0","8","8","0","Afghanistan","2020-08-19","8 wounded in mortar attack on northern Kunduz province","Urban Residential"
"0","3","0","3","Afghanistan","2020-08-21","3 children killed in mortar attack on home in Dasht-e-Archi district","Urban Residential"
"0","4","3","1","Afghanistan","2020-08-20","1 killed and 3 injured in mortar attack on home in Kapisa","Urban Residential"
"5","1","1","0","Afghanistan","2020-08-22","1 police officer killed and 4 injured in bomb blasts across Kabul","No Information"
"0","2","2","0","Afghanistan","2020-08-22","Bicycle bomb injures 2 civilians in Kabul","Public Building"
"3","0","0","0","Afghanistan","2020-08-20","3 police killed and 2 injured in roadside bomb in Uruzgan","No Information"
"0","2","0","2","Afghanistan","2020-08-21","2 civilians killed in IED explosion in Kandahar","Road"
"2","0","0","0","Afghanistan","2020-08-21","2 planting bomb killed as it detonates in Kandahar","Road"
"0","5","4","1","Afghanistan","2020-08-23","1 killed and 4 injured in Taliban mortar attack in Kapisa","Urban Residential"
"1","0","0","0","Afghanistan","2020-08-24","3 soldiers killed and 6 injured in Taliban suicide car bomb attack in Dih Yak district","Armed Base"
"8","0","0","0","Afghanistan","2020-08-25","Car bomb explosion near Balkh district killed 1 soldier and injured 6 near to compound","Armed Base"
"0","7","0","7","Afghanistan","2020-08-23","Roadside bomb kills 7 civilians in Jaghatu district","Road"
"2","0","0","0","Afghanistan","2020-08-23","2 soldiers wounded in IED explosion in Lashkargah city","No Information"
"0","10","0","10","Afghanistan","2020-08-24","Airstrike in Baghlan kills 10 people in religious school","School"
"9","38","35","3","Afghanistan","2020-08-25","2 commandos and civilian killed in suicide truck bomb in Balkh","Urban Residential"
"1","0","0","0","Afghanistan","2020-08-25","Police officer killed by roadsde bomb in Kabul","Road"
"0","13","0","13","Afghanistan","2020-08-28","13 killed by IED in Kandahar province's Spin Boldak district","Urban Residential"
"0","4","1","3","Afghanistan","2020-08-28","Second blast in Kandahar kills 3 including 2 children ","Urban Residential"
"0","2","0","2","Afghanistan","2020-08-29","Roadside bomb kills father and son in Sari Pul province ","Road"
"0","9","4","5","Afghanistan","2020-08-29","5 killed and 4 wounded in 2 roadside bomb blasts in Shahjoy district","Road"
"3","1","1","0","Afghanistan","2020-08-29","4 injured in two roadside bombs in eastern Paktia province","No Information"
"0","2","0","2","Afghanistan","2020-08-30","2 killed in roadside bomb explosion in Nad-e-Ali district in Helmand","Village"
"11","0","0","0","Afghanistan","2020-08-31","8 Taliban killed and 3 injured in airstrikes in Faryab","No Information"
"9","0","0","0","Afghanistan","2020-09-01","3 soldiers killed and 5 injured in Taliban car bomb and gun battle in Gardez at military base","Armed Base"
"2","0","0","0","Afghanistan","2020-08-25","Police chief and officer killed by IED in Faizabad","No Information"
"0","3","0","3","Afghanistan","2020-08-25","3 laborers killed in IED attack in Jawzjan province","No Information"
"5","0","0","0","Afghanistan","2020-08-27","Roadisde bomb kills 4 soldiers in Timorak village","Village"
"1","0","0","0","Afghanistan","2020-08-26","Policer officer killed attempting to defuse roadside bomb in Herat City","Urban Residential"
"5","0","0","0","Afghanistan","2020-08-26","Afghan mortar fire accidentally targets own army killing 5 soldiers","Village"
"0","2","0","2","Afghanistan","2020-08-26","2 killed in roadside bomb in Sorkhbaid area ","Village"
"0","4","0","4","Afghanistan","2020-08-24","4 civilians killed in mortar strike on home in Kunduz","Urban Residential"
"0","5","4","1","Afghanistan","2020-08-23","Taliban mortar fire hit home in Bandar-e-Shorab area of Khan Abad District in 10yo child","Urban Residential"
"0","3","0","3","Afghanistan","2020-08-23","3 killed in roadside bomb explosion in Shawalikot district","Road"
"0","3","0","3","Afghanistan","2020-08-22","2 engineers and one driver for gas company killed by a roadside bomb in the Jarqudoq area","Urban Residential"
"2","4","4","0","Afghanistan","2020-08-21","Car bomb targets police checkpoint in bazaar area of Greskh district killing 2 police and injuring 4 others","Market"
"12","0","0","0","Afghanistan","2020-08-21","Roadside bomb kill 10 police and soldiers and injures 2 in Yakhdan village","Village"
"2","0","0","0","Afghanistan","2020-08-20","Motorcycle hits roadside bomb in Ghor's Badgah village","Village"
"0","7","0","7","Afghanistan","2020-08-20","7 killed in roadside bomb explosion in Badgah village ","Village"
"0","10","6","4","Afghanistan","2020-08-19","4 killed and 6 wounded in Afghan sirstrikes on Badghisi village where Taliban were suspected to be sheltering","Village"
"2","4","0","4","Afghanistan","2020-08-19","Taliban rocket fire on car killed 3 soldiers and 4 civilians in Haq al-Oboor area of Shirkhan Port","Transport Related Infrastructure"
"2","0","0","0","Afghanistan","2020-08-18","Police officer killed and 1 wounded in roadside bomb blast in Zawol District","No Information"
"0","13","8","5","Afghanistan","2020-08-17","Mortar hits home in Laghano village killing 5 and injuring 8","Village"
"2","0","0","0","Afghanistan","2020-08-17","Taliban mortar hits security post in Sang-e-Atash killing police officer","Armed Base"
"0","2","0","2","Afghanistan","2020-08-17","2 killed in roadside bomb blast in Mehlan area of Gardez","Urban Residential"
"3","2","0","2","Afghanistan","2020-08-17","Afghan airstrike kills 2 civilians and 3 Taliban in airstrike on Bori village","Village"
"45","0","0","0","Afghanistan","2020-08-16","25 Taliaban killed and 20 injured in airstrike in Badghis","No Information"
"6","0","0","0","Afghanistan","2020-08-14","Roadside bomb explosion in Rezakan area of Argo district killed 4 soldier and wounded 2","Road"
"0","3","1","2","Afghanistan","2020-08-10","Taliban roadside bomb kills 2 in Khost's Malangi Khwla area","Road"
"0","12","7","5","Afghanistan","2020-08-10","5 killed and 7 injured in mortar attack on home in Qaziha village","Village"
"3","0","0","0","Afghanistan","2020-08-09","Bomb explosion in the center of Momandara District, killing one soldier","No Information"
"3","0","0","0","Afghanistan","2020-08-07","Taliban roadside bomb in the Shahr-e-Kohna area of Baghlan-e-Markazi District, killing one soldier ","Road"
"5","0","0","0","Afghanistan","2020-08-06","Roadside bomb in the Chore Sanarud area of Charburjak District, killing one police officer","Road"
"0","6","2","4","Afghanistan","2020-08-03","Afghan mortar fire hits homs in Bala Murghab District killing 4","Urban Residential"
"0","5","2","3","Afghanistan","2020-08-03","Roadside bomb  explosion in Kacha Ziarat area of Spin Boldak District killed 3","Road"
"0","1","0","1","Afghanistan","2020-08-01","1 killed by Taliban roadside bomb in Tarin Kot","Urban Residential"
"10","0","0","0","Afghanistan","2020-07-31","6 soldiers killed and 4 wounded in roadside bomb explosion in Helmand","Road"
"0","4","0","4","Afghanistan","2020-07-31","4 killed in Taliban roadside bomb explosion in Uruzgan province","Road"
"0","3","0","3","Afghanistan","2020-09-03","Father and son killed in landmine blast in Pachiragam district","Village"
"7","0","0","0","Afghanistan","2020-09-02","3 Taliban killed and 4 injured in Afghan airstrike in Garmser district","No Information"
"49","0","0","0","Afghanistan","2020-09-02","37 Taliban killed in airstrikes in Kaysar and Khwaja Sabzaposh","No Information"
"2","0","0","0","Afghanistan","2020-09-04","2 Taliban fighters killed in Afghan airstrike on camp in Qaysar","No Information"
"8","0","0","0","Afghanistan","2020-09-05","8 Taliban killed in airstrikes on gathering in Charbolak district","No Information"
"33","0","0","0","Afghanistan","2020-09-07","25 killed and 8 injured in Afghan airstrike in Laghman","No Information"
"0","10","4","6","Afghanistan","2020-09-07","6 killed in mortar attack on home in Nangarhar","Urban Residential"
"0","2","1","1","Afghanistan","2020-09-06","Pressure plate roadside bomb blast in Uruzgan kills 1 and wounds 1 ","Road"
"0","2","1","1","Afghanistan","2020-09-07","1 killed and 1 wounded when tricycle hit IED in Zharay district","No Information"
"1","25","15","10","Afghanistan","2020-09-09","10 killed in suicide attack targeting Afghan VP who sustained some wounds - as many as 31 injured","Commercial Premises"
"2","0","0","0","Afghanistan","2020-09-08","Roadside bomb kills 2 police in Daikundi province","Road"
"0","2","0","2","Afghanistan","2020-09-08","2 killed in roadside bomb blast in Darabad district","Road"
"1","5","3","2","Afghanistan","2020-09-08","3, including security personnel, killed and 3 injured in roadside bomb in Kunar","Road"
"18","0","0","0","Afghanistan","2020-09-10","Police injured in car bomb explosion in Kandahar","Armed Base"
"0","2","0","2","Afghanistan","2020-09-11","Roadside bomb kills 2 in Anjargi area in Shah Walikot district","Road"
"12","0","0","0","Afghanistan","2020-09-12","12 Taliban killed in airstrike on gathering in Chanzai area outside Taluqan city","No Information"
"40","0","0","0","Afghanistan","2020-09-12","40 Taliban killed in Shahwali Kot district in Kandahar","No Information"
"11","0","0","0","Afghanistan","2020-09-12","6 Taliban killed and 5 injured in airstrike in Gunda Chashma area of the district","No Information"
"5","0","0","0","Afghanistan","2020-09-12","1 police killed and 3 injured in car bomb explosion at checkpoint in Maiwand","Armed Base"
"5","0","0","0","Afghanistan","2020-09-13","5 soldiers killed in roadside bomb blast in Badghis","Road"
"0","2","2","0","Afghanistan","2020-09-13","2 civilians wounded in roadside bomb in Mirwais Mina","Urban Residential"
"4","0","0","0","Afghanistan","2020-09-15","1 intelligence officer killed and 3 NDS injured in roadside bomb explosion","Road"
"0","14","12","2","Afghanistan","2020-09-15","IED blast in Kalafgan district kills 2 and injures 12","Commercial Premises"
"9","30","18","12","Afghanistan","2020-09-19","Double tap airstrike on Taliban gathering in Kunduz leaves civilian casualties as they gathered at site of first strike to extinguish flames at a home - a range of casualty totals for both civilians and Taliban","Village"
"0","30","30","0","Afghanistan","2020-09-19","19 wounded by roadside bomb as it struck wedding convoy in Paktika","Road"
"10","0","0","0","Afghanistan","2020-09-19","1 killed and 8 injured in suicide car bomb in Golaee Khasa village","Village"
"0","6","5","1","Afghanistan","2020-09-19","1 woman killed and 5 injured wounding in bomb blast in Mazar-e Shariff","Urban Residential"
"0","3","3","0","Afghanistan","2020-09-21","3 wounded in roadside bomb blast in PD 5 of Kabul","Road"
"0","1","0","1","Afghanistan","2020-09-21","Child killed in roadside bomb blast in PD 8 of Kabul","Road"
"8","0","0","0","Afghanistan","2020-09-21","5 Taliban killed in Sozma Qala district in airstrikes","No Information"
"0","9","6","3","Afghanistan","2020-09-24","3 killed and 6 injured in mortar shelling on home in Khan Abaad district ","Urban Residential"
"0","3","3","0","Afghanistan","2020-09-24","Bomb hits car in Kunduz city wounding 3 ","Town Centre"
"6","0","0","0","Afghanistan","2020-09-27","6 Taliban killed in Afghan airstrike on Taliban camp in Logar","No Information"
"0","10","4","6","Afghanistan","2020-09-26","6 killed and 4 injured in roadside bomb blast in Kunduz","Road"
"0","16","2","14","Afghanistan","2020-09-29","14 killed in roadside bomb blast in Daikundi province and 3 wounded","Road"
"0","6","3","3","Afghanistan","2020-09-30","3 killed and 3 injured in mortar shelling on home in Alingar district","Urban Residential"
"0","3","0","3","Afghanistan","2020-09-28","3 killed in rocket attack by Taliban on residential area in Ghazni","Urban Residential"
"9","5","1","4","Afghanistan","2020-09-30","9 killed in suicide bcar bombing at military checkpoint in Helmand","Armed Base"
"1","0","0","0","Afghanistan","2020-09-30","Bomb blast in Kandahar injures police chief ","Road"
"0","2","0","2","Afghanistan","2020-09-30","2 killed by roadside bomb blast in Dawlat Yar district","Road"
"0","1","0","1","Afghanistan","2020-09-29","Roadside bomb killed 1 in Dawlat yar district","Road"
"1","55","40","15","Afghanistan","2020-10-03","15, including civilians killed in suicide attack on government building near mosque and school","Public Building"
"4","0","0","0","Afghanistan","2020-10-02","4 Taliban killed in roadside bomb blast in Shah Wali Kot","Road"
"7","32","28","4","Afghanistan","2020-10-05","Suicide attack kills 8 and wounds 28 as attacker rammed his explosives-filled vehicle into the convoy of Rahmatullah Yarmal","Road"
"0","1","0","1","Afghanistan","2020-10-05","1 killed by blast of magnetic bomb attached to vehicle in Kabul","No Information"
"3","0","0","0","Afghanistan","2020-10-01","Taliban roadside bomb kills 1 police officer and 2 wounded","Village"
"0","2","0","2","Afghanistan","2020-09-28","Taliban roadside bomb kills 2 on motorcycle","Village"
"0","2","0","2","Afghanistan","2020-09-28","Taliban roadside bomb kills 2 children in Pay-Hesar village","Village"
"4","0","0","0","Afghanistan","2020-09-27","Roadside bomb in Kandahar kills 1 police and 3 injured","Urban Residential"
"0","5","4","1","Afghanistan","2020-09-27","1 killed and 4 injured by explosives hidden in bicycle in Khost","Town Centre"
"2","2","0","2","Afghanistan","2020-09-10","Bomb attached to motorcycle during wedding reception in Kundi area of Khost","Urban Residential"
"3","0","0","0","Afghanistan","2020-09-21","Roadside bomb near security post in Moqor ","Armed Base"
"8","0","0","0","Afghanistan","2020-09-21","8 police killed in Taliban attack using rocket fire in Tagab district","Armed Base"
"2","0","0","0","Afghanistan","2020-09-07","Grenade thrown at police HQ in Shirin Tagab district kills 1 police officer","No Information"
"3","0","0","0","Afghanistan","2020-09-07","Police officer killed in roadside bomb in Makaki area of Kand district","Road"
"4","0","0","0","Afghanistan","2020-09-19","Police chief killed and 3 soldiers injured in Ata Khona area","Road"
"0","2","1","1","Afghanistan","2020-09-18","Taliban mine killed farmed and wounded son in Mianashin District","No Information"
"1","0","0","0","Afghanistan","2020-09-18","Second mine explodes in Mianashin District killing soldier trying to evacuate wounded ","No Information"
"1","0","0","0","Afghanistan","2020-09-18","Roadside bomb in Konjak area killed 1 police","No Information"
"0","11","10","1","Afghanistan","2020-09-17","Grenade explosion in potato field kills child and wounds 10","Agricultural Land"
"0","2","1","1","Afghanistan","2020-09-15","1 killed and 1 wounded in roadside bomb explosion in Qala-e-Naw","Urban Residential"
"0","3","0","3","Afghanistan","2020-09-06","3 killed when mortar hits home in Kamal village in Kunduz province","Village"
"5","0","0","0","Afghanistan","2020-09-14","Taliban car bomb targeted outpost in Aziz Abad","Village"
"6","0","0","0","Afghanistan","2020-09-13","1 police killed and 5 injured in Taliban roadside bomb blast in Ali Abad district","Road"
"4","0","0","0","Afghanistan","2020-09-13","Roadside bomb explosion kills 4 soldiers in Shiniyah","Village"
"0","1","0","1","Afghanistan","2020-09-06","Farmer killed by bomb planted in wheatfield in Masjid-e-Sabz village","Village"
"0","3","0","3","Afghanistan","2020-09-05","3 killed in roadside bomb explosion in Band-e-Ali district","Village"
"8","0","0","0","Afghanistan","2020-10-06","4 soldiers killed in car bomb attack on security post in Helmand at 11pm","Armed Base"
"0","3","0","3","Afghanistan","2020-10-07","3 killed in Kapisa's Khisha Chena area by bomb blast","Road"
"3","0","0","0","Afghanistan","2020-10-07","Suicide car bomber shot at exploding vehicle and injuring 2 soldiers","Armed Base"
"2","3","2","1","Afghanistan","2020-10-07","District governor killed in roadside bomb explosion in Laghman","Road"
